173416 124543 0 0
0 0 1226466 162066
563988 747969 0 0
651128 737404 0 0
0 0 162066 62332
怀 242 184 132 24
浚 0 13 4 0
茂 0 114 47 43
耀 11 115 25 35
涉 223 50 165 7
谈 1748 591 1348 277
伊 1393 541 12 100
随 911 200 48 3
挂 191 219 29 0
抗 364 262 216 22
料 5 193 2222 14
微 273 233 30 18
亟 43 4 0 0
洞 36 206 65 0
造 1227 185 2000 243
瞥 0 1 11 0
瘤 0 16 59 0
骧 0 2 1 0
缪 10 45 2 0
般 0 138 502 15
蚯 2 0 0 0
潜 359 44 53 0
河 657 587 344 21
欲 4 116 15 26
侵 447 82 59 0
临 357 140 382 0
犷 0 0 11 0
然 677 196 3257 347
吸 609 44 32 0
场 371 1022 3527 49
宽 95 179 63 0
线 118 534 1586 57
黛 0 5 1 0
反 3128 597 407 24
牌 54 262 385 9
盏 2 14 2 0
科 5433 577 737 378
筒 0 30 8 1
苗 155 148 97 2
庸 14 25 15 0
摘 103 92 99 0
话 138 604 2162 73
赞 592 65 143 3
凡 97 216 55 2
卢 99 183 4 1
知 1583 252 791 27
除 429 459 835 2
巩 223 3 0 0
惫 0 0 7 0
罪 93 130 337 103
揭 306 26 0 0
扬 57 154 738 24
馅 0 1 2 0
衰 36 66 53 0
泳 0 46 108 3
蹴 0 6 0 12
其 2887 1695 768 82
闹 115 94 75 6
驼 2 4 17 0
绿 405 205 19 1
渔 155 112 7 88
扇 0 62 24 0
萃 0 7 3 0
暄 0 4 2 0
覆 117 17 8 15
沈 359 136 0 0
》 0 4632 0 0
辊 0 5 0 0
匍 1 2 0 0
湃 0 0 11 0
睬 0 0 12 0
颐 7 4 0 0
引 1845 182 292 47
应 2325 1479 1489 85
枚 0 252 6 1
灵 235 132 123 2
泄 1 35 0 7
儡 0 0 18 0
滤 0 26 0 0
假 116 244 200 41
崩 6 32 0 0
循 99 42 53 34
芬 128 128 55 7
是 533 25473 6802 73
械 0 12 338 105
讲 1066 993 137 1
废 210 260 13 0
刷 33 43 59 8
冶 119 24 17 1
咸 6 36 0 0
砻 0 1 0 0
贞 0 45 10 12
骼 0 9 0 0
鸿 0 81 8 2
胀 0 12 131 37
琉 6 7 0 0
视 332 185 1725 471
俊 0 78 11 23
契 0 62 11 0
磐 3 0 0 0
寒 145 132 80 3
录 234 180 572 67
黔 3 54 1 0
典 200 88 464 80
教 4428 451 497 398
跻 8 1 0 0
也 280 8229 47 39
艾 100 153 16 21
囤 0 3 0 0
秦 92 115 1 0
峨 21 5 0 0
括 0 2 1016 0
景 185 190 483 88
潼 0 5 4 0
熠 2 8 0 2
诲 0 3 8 0
滴 0 67 9 0
凶 17 44 0 0
畹 0 1 0 0
铸 43 46 0 1
须 4 105 1444 2
基 5011 395 132 574
广 3324 280 440 37
巾 0 24 13 0
漪 0 1 4 0
沉 232 101 64 3
醋 0 25 0 0
上 4874 9997 3785 124
后 1247 3802 4066 44
频 92 96 0 0
餐 75 65 52 5
底 23 429 598 4
４ 1635 1783 427 1237
默 74 71 123 60
蒙 116 195 58 145
攘 0 25 0 0
售 118 139 672 62
辟 0 34 197 0
厄 9 94 0 2
疣 0 2 0 0
箧 0 1 0 0
岩 40 104 7 0
茬 0 19 0 0
枯 14 36 4 0
胜 428 305 379 41
袱 0 0 35 0
椰 11 6 0 0
足 480 174 918 32
伴 65 46 138 0
痒 0 5 1 0
馈 0 9 39 0
钹 0 1 0 0
甸 0 19 43 8
离 644 306 545 15
鬼 0 35 0 0
渴 53 40 3 0
胁 4 1 215 0
灿 28 88 49 9
框 36 10 14 0
泉 0 234 84 3
凋 1 8 0 0
罩 0 24 14 0
壑 0 5 1 0
绕 6 42 158 0
赋 66 19 7 0
虚 114 94 24 50
迟 41 70 80 0
郡 0 6 0 0
谑 0 4 4 0
嗣 0 2 0 3
牢 73 23 20 0
坤 0 39 11 6
柯 10 59 1 18
跳 197 162 4 0
轴 1 53 0 0
号 167 562 332 1
灶 2 51 6 0
啸 0 25 3 0
移 98 124 276 9
贾 47 177 1 43
忿 0 2 0 0
老 1428 1519 196 138
膀 0 4 10 0
节 1440 545 1178 348
蘅 0 0 7 0
构 166 108 1556 12
消 1813 72 190 0
厌 0 35 3 0
咎 0 10 1 1
堑 0 8 0 0
耙 0 3 0 0
窒 11 1 0 0
帕 91 164 2 9
羔 0 5 0 0
茗 0 2 3 0
肖 103 85 3 0
棕 0 11 0 0
褛 0 0 3 0
濮 7 2 0 0
伟 211 221 112 26
倡 149 6 196 0
冠 425 69 56 1
锣 3 25 0 0
惆 8 0 0 0
颦 0 4 0 0
渝 1 32 2 0
思 2543 257 409 439
纪 1468 151 575 214
术 33 82 6141 402
撮 2 0 4 0
踵 0 1 3 8
猷 0 3 14 0
吹 21 106 129 6
稽 0 19 0 3
精 2473 325 15 7
蕃 0 6 5 0
拂 0 22 0 0
柄 0 15 1 0
歇 6 39 2 0
汉 244 358 269 108
珍 318 171 6 0
克 342 1032 1329 905
今 5235 182 776 50
前 2465 1801 4542 60
双 1469 591 27 9
坏 56 156 398 0
塑 226 68 134 1
幕 0 42 471 134
翔 0 64 28 0
湍 18 1 0 0
几 770 2734 304 46
镣 4 0 0 0
桐 0 37 3 0
巨 497 101 99 0
绪 0 40 168 2
扭 101 98 0 0
杯 55 295 87 0
卷 30 263 38 0
妨 84 2 21 0
闸 2 72 0 0
固 352 114 280 9
驽 0 6 0 0
导 772 504 3999 1074
脂 10 28 11 0
萄 0 2 71 201
辉 43 94 92 13
丈 80 27 0 0
再 521 1041 291 17
侃 5 3 0 5
咏 3 24 0 0
霎 5 0 0 0
库 112 317 215 97
砂 0 64 4 0
尔 78 1533 1162 1481
挖 140 123 10 0
炮 137 99 163 10
沟 77 105 44 32
伞 0 48 4 0
删 10 7 4 0
嚣 0 14 10 1
鄢 1 0 0 0
碧 20 42 0 0
符 385 43 23 3
披 31 54 7 0
爆 268 119 0 0
躲 0 28 0 0
涵 1 36 48 19
水 2705 1391 717 84
町 0 8 0 0
禽 11 43 33 0
箴 5 0 16 0
蔚 10 30 0 0
所 2296 2851 1292 387
旅 878 168 24 0
摄 272 396 74 0
么 0 95 2471 176
勋 23 40 110 0
浊 0 6 6 0
重 5743 681 2313 80
灌 81 98 11 0
坎 32 50 2 8
结 3370 259 1402 135
渎 8 1 0 0
贻 6 16 0 0
佞 0 2 0 0
学 5942 1214 6129 2514
帽 35 37 9 1
臭 17 25 1 1
诱 25 27 13 0
倒 179 249 50 4
践 13 5 696 4
烷 0 9 0 2
培 1371 133 122 81
持 454 213 4243 103
技 4070 177 1589 341
彪 0 12 65 0
标 836 152 1131 213
殆 0 9 0 0
予 144 56 577 0
越 1134 599 603 71
雾 1 57 10 0
瞎 0 28 0 0
笑 74 276 149 40
庙 49 74 26 0
馒 17 4 0 0
岔 0 9 0 0
耗 45 115 197 2
８ 1118 1454 146 4997
袜 0 5 1 0
谟 0 10 2 0
辞 131 100 23 1
匡 4 9 0 0
加 4533 767 4594 669
锥 4 21 0 0
咤 0 0 0 3
宦 0 15 0 0
缩 155 112 262 5
悬 67 42 0 11
贵 321 218 298 4
霹 0 1 0 0
稻 38 74 119 4
尿 14 13 0 11
晃 0 19 3 0
臂 1 40 8 2
故 375 169 296 0
蓄 29 58 167 0
识 45 81 1986 352
酶 2 32 0 0
免 299 104 435 4
侣 0 3 9 0
城 1416 558 598 171
筑 9 53 446 100
秒 0 283 20 0
江 719 549 605 292
连 670 758 259 87
卡 275 472 183 18
狠 61 51 4 0
略 30 108 661 95
芥 0 24 0 0
彩 191 176 271 20
塾 0 0 2 0
扫 54 89 0 0
惬 5 0 0 0
乳 8 31 6 1
赵 575 566 7 0
廿 1 1 0 0
偷 42 74 31 0
叶 52 305 112 4
睹 0 11 92 0
相 2323 858 685 127
驻 368 544 64 0
好 756 3260 3157 73
屿 0 4 16 0
滁 6 2 0 0
愁 6 65 34 0
媚 0 7 1 1
争 804 265 2063 92
梭 0 23 1 0
王 626 1408 253 1
谊 0 9 395 0
抒 48 22 15 9
吃 200 736 38 12
疏 46 67 11 0
阎 93 60 0 0
骑 6 73 0 0
崔 20 52 1 0
或 474 1883 4 2
蜘 0 19 0 0
渤 18 0 0 0
趟 0 44 0 0
踞 0 2 4 0
务 79 200 5151 1418
匠 6 57 14 1
逢 1 49 55 0
钥 34 0 0 0
唤 34 9 47 0
莫 354 220 4 64
妆 0 20 8 22
斯 151 1498 625 2452
澳 1043 88 165 0
贴 47 116 162 1
冷 126 256 49 0
制 3259 783 4830 228
霸 0 45 11 0
礼 161 157 159 20
聂 161 45 0 0
擅 59 6 0 0
仉 2 0 0 0
友 1190 181 618 35
煌 0 24 43 0
子 388 1101 4425 175
硒 0 3 0 0
糕 16 13 11 0
婆 0 70 8 0
曙 16 8 0 0
毛 346 379 29 18
玻 156 9 0 0
